index,time,wether,error,moving,no
0,2014/11/1 10:00,21.2,0.2238,0.0087,209
1,2014/11/1 11:00,22.57,0.71175,0.0338,479
2,2014/11/1 12:00,22.3,0.73371,0.0283,485
3,2014/11/1 13:00,23.99,0.99831,0.0748,333
4,2014/11/1 14:00,14.77,0.75081,0.023,124
5,2014/11/1 15:00,17.27,0.26229,0.0666,346
6,2014/11/1 16:00,10.33,0.86156,0.0465,42
7,2014/11/1 17:00,24.5,0.57511,0.0883,186
8,2014/11/1 18:00,14.34,0.72375,0.0696,79
9,2014/11/1 19:00,21.48,0.60989,0.0862,438
10,2014/11/1 20:00,16.15,0.95957,0.0821,488
11,2014/11/1 21:00,23.49,0.5608,0.0603,53
12,2014/11/1 22:00,21.55,0.71601,0.0594,250
13,2014/11/1 23:00,14.32,0.29118,0.0701,311
14,2014/11/2 0:00,18.6,0.25603,0.0078,357
15,2014/11/2 1:00,18.82,0.65512,0.0217,116
16,2014/11/2 2:00,13.76,0.86512,0.003,182
17,2014/11/2 3:00,17.34,0.75261,0.0353,145
18,2014/11/2 4:00,20.5,0.91263,0.024,167
19,2014/11/2 5:00,12.85,0.37233,0.0178,115
20,2014/11/2 6:00,10.65,0.93591,0.0306,459
21,2014/11/2 7:00,15.32,0.98355,0.0863,375
22,2014/11/2 8:00,10.33,0.38053,0.0698,33
23,2014/11/2 9:00,19.8,0.48146,0.0661,160
24,2014/11/2 10:00,16.56,0.47262,0.0077,178
25,2014/11/2 11:00,19.77,0.84324,0.0603,71
26,2014/11/2 12:00,16.02,0.62649,0.0052,388
27,2014/11/2 13:00,15.68,0.95759,0.0992,155
28,2014/11/2 14:00,19.01,0.44307,0.0304,247
29,2014/11/2 15:00,20.19,0.431,0.0448,373
30,2014/11/2 16:00,20.06,0.6635,0.0793,202
31,2014/11/2 17:00,16.13,0.09504,0.0405,247
32,2014/11/2 18:00,20.92,0.46148,0.0337,13
33,2014/11/2 19:00,11.49,0.11319,0.063,153
34,2014/11/2 20:00,13.21,0.43504,0.0222,294
35,2014/11/2 21:00,14.97,0.92594,0.077,411
36,2014/11/2 22:00,10.42,0.2487,0.0555,110
37,2014/11/2 23:00,23.13,0.0021,0.0703,139
38,2014/11/3 0:00,11.74,0.17228,0.0039,235
39,2014/11/3 1:00,23.76,0.08098,0.0519,115
40,2014/11/3 2:00,24.11,0.8942,0.0569,440
41,2014/11/3 3:00,20.54,0.88173,0.0317,80
42,2014/11/3 4:00,21.68,0.86626,0.0902,97
43,2014/11/3 5:00,12.02,0.34724,0.038,39
44,2014/11/3 6:00,19.27,0.9203,0.0909,18
45,2014/11/3 7:00,11.46,0.66841,0.0607,51
46,2014/11/3 8:00,10.61,0.83658,0.0032,353
47,2014/11/3 9:00,24.68,0.48167,0.077,249
48,2014/11/3 10:00,24.52,0.80047,0.0894,380
49,2014/11/3 11:00,15.41,0.7061,0.0167,347
50,2014/11/3 12:00,23.65,0.47509,0.0314,478
51,2014/11/3 13:00,15.83,0.53767,0.0514,413
52,2014/11/3 14:00,20.91,0.50487,0.0409,216
53,2014/11/3 15:00,15.88,0.26262,0.0293,258
54,2014/11/3 16:00,11.82,0.72037,0.0743,302
55,2014/11/3 17:00,19.89,0.34021,0.0517,52
56,2014/11/3 18:00,17.31,0.90073,0.0605,321
57,2014/11/3 19:00,17.25,0.53305,0.0089,226
58,2014/11/3 20:00,11.52,0.18492,0.093,88
59,2014/11/3 21:00,17.05,0.68483,0.0266,488
60,2014/11/3 22:00,19.12,0.3267,0.0734,63
61,2014/11/3 23:00,13.34,0.56833,0.0376,105
62,2014/11/4 0:00,13.13,0.7288,0.0647,442
63,2014/11/4 1:00,13.91,0.8885,0.0846,450
64,2014/11/4 2:00,16.71,0.53625,0.0212,102
65,2014/11/4 3:00,23.02,0.87313,0.0644,75
66,2014/11/4 4:00,14.34,0.35106,0.0389,60
67,2014/11/4 5:00,20.59,0.38658,0.0202,439
68,2014/11/4 6:00,20.63,0.28087,0.0922,255
69,2014/11/4 7:00,11.09,0.80012,0.0786,247
70,2014/11/4 8:00,14.27,0.28795,0.0692,62
71,2014/11/4 9:00,15.71,0.32129,0.0828,380
72,2014/11/4 10:00,16.35,0.65993,0.0389,364
73,2014/11/4 11:00,20.86,0.14563,0.0801,434
74,2014/11/4 12:00,22.2,0.30798,0.0426,209
75,2014/11/4 13:00,16.89,0.01293,0.0764,194
76,2014/11/4 14:00,13.64,0.02163,0.0454,154
77,2014/11/4 15:00,22.96,0.40366,0.0018,478
78,2014/11/4 16:00,17.44,0.16036,0.0432,176
79,2014/11/4 17:00,10.72,0.88624,0.0164,197
80,2014/11/4 18:00,18.82,0.02317,0.0618,367
81,2014/11/4 19:00,11,0.04404,0.0161,299
82,2014/11/4 20:00,21.8,0.37544,0.0288,240
83,2014/11/4 21:00,24.43,0.78229,0.0709,189
84,2014/11/4 22:00,21.37,0.55768,0.0719,61
85,2014/11/4 23:00,11.11,0.56403,0.0048,152
86,2014/11/5 0:00,16.95,0.53355,0.0578,448
87,2014/11/5 1:00,21.34,0.31996,0.0168,182
88,2014/11/5 2:00,10.28,0.57676,0.0996,369
89,2014/11/5 3:00,12.05,0.08011,0.0253,119
90,2014/11/5 4:00,14.16,0.2772,0.0588,142
91,2014/11/5 5:00,12.33,0.09738,0.0064,461
92,2014/11/5 6:00,11.21,0.13002,0.0172,291
93,2014/11/5 7:00,20.16,0.07483,0.0283,106
94,2014/11/5 8:00,21.23,0.26457,0.0938,13
95,2014/11/5 9:00,24.2,0.09323,0.0492,156
96,2014/11/5 10:00,10.91,0.32559,0.0814,177
97,2014/11/5 11:00,19.39,0.33236,0.0273,115
98,2014/11/5 12:00,18.26,0.11184,0.0297,472
99,2014/11/5 13:00,17.56,0.18082,0.046,481
100,2014/11/5 14:00,21.89,0.56276,0.055,458
101,2014/11/5 15:00,23.49,0.9298,0.0665,401
102,2014/11/5 16:00,21.54,0.02245,0.0502,471
103,2014/11/5 17:00,20.29,0.60797,0.0745,321
104,2014/11/5 18:00,11.23,0.47898,0.0772,302
105,2014/11/5 19:00,21.11,0.39416,0.037,298
106,2014/11/5 20:00,10.37,0.24643,0.0178,360
107,2014/11/5 21:00,22.03,0.02387,0.1,409
108,2014/11/5 22:00,16.44,0.19031,0.0457,287
109,2014/11/5 23:00,13.84,0.86861,0.0282,164
110,2014/11/6 0:00,13.09,0.46791,0.0095,389
111,2014/11/6 1:00,10.33,0.84378,0.0096,295
112,2014/11/6 2:00,10.21,0.14475,0.0814,33
113,2014/11/6 3:00,15.16,0.11706,0.0881,37
114,2014/11/6 4:00,14.77,0.6632,0.0668,133
115,2014/11/6 5:00,14.98,0.52155,0.0596,249
116,2014/11/6 6:00,24.16,0.33466,0.0139,308
117,2014/11/6 7:00,10.64,0.04974,0.0029,188
118,2014/11/6 8:00,11.62,0.53703,0.0909,487
119,2014/11/6 9:00,15.03,0.27729,0.079,464
120,2014/11/6 10:00,20.06,0.83041,0.0931,173
121,2014/11/6 11:00,24.91,0.5381,0.0309,392
122,2014/11/6 12:00,14.89,0.57822,0.0351,66
123,2014/11/6 13:00,24.73,0.21773,0.0556,32
124,2014/11/6 14:00,23.13,0.55793,0.004,471
125,2014/11/6 15:00,12.53,0.27095,0.0567,19
126,2014/11/6 16:00,23.08,0.25651,0.0224,472
127,2014/11/6 17:00,20.72,0.91329,0.018,494
128,2014/11/6 18:00,10.53,0.27364,0.0947,60
129,2014/11/6 19:00,22.26,0.57839,0.0272,190
130,2014/11/6 20:00,23.6,0.21588,0.0367,443
131,2014/11/6 21:00,21.59,0.52882,0.0736,185
132,2014/11/6 22:00,11.2,0.81536,0.0204,164
133,2014/11/6 23:00,19.29,0.19824,0.0541,451
134,2014/11/7 0:00,24.73,0.51491,0.0579,30
135,2014/11/7 1:00,19.19,0.25246,0.0582,198
136,2014/11/7 2:00,19.23,0.47304,0.0387,257
137,2014/11/7 3:00,12.19,0.24384,0.0997,207
138,2014/11/7 4:00,18.61,0.54479,0.0842,236
139,2014/11/7 5:00,17.82,0.49945,0.0029,192
140,2014/11/7 6:00,12.68,0.51723,0.0194,125
141,2014/11/7 7:00,18.61,0.69909,0.0675,179
142,2014/11/7 8:00,19.12,0.5102,0.0762,152
143,2014/11/7 9:00,14.99,0.96793,0.0418,449
144,2014/11/7 10:00,12.61,0.86582,0.0754,263
145,2014/11/7 11:00,10.78,0.80389,0.0634,359
146,2014/11/7 12:00,21.63,0.41608,0.0636,410
147,2014/11/7 13:00,12.23,0.40674,0.0185,221
148,2014/11/7 14:00,11.95,0.42884,0.0568,398
149,2014/11/7 15:00,12.57,0.0057,0.0551,363
150,2014/11/7 16:00,24.96,0.26123,0.0172,445
151,2014/11/7 17:00,13.02,0.52322,0.0619,253
152,2014/11/7 18:00,24.47,0.35136,0.0764,167
153,2014/11/7 19:00,21.96,0.62319,0.0942,485
154,2014/11/7 20:00,22.27,0.69824,0.0981,404
155,2014/11/7 21:00,17.82,0.29026,0.0814,393
